"country","homRate","homRateYear","assault","assaultYear","sexViolence","sexViolenceYear","kidnap","kidnapYear","robbery","robberyYear"
"Jordan","1.3600","2017","261.9400","2006","","","0.5670","2006","6.0600",""
"Bulgaria","1.3000","2018","35.7100","2018","9.2000","2017","0.8930","2018","17.9390",""
"Romania","1.2800","2018","1.2900","2018","7.8000","2017","1.5580","2018","16.7900",""
"Saudi Arabia","1.2700","2017","5.5700","2017","0.1000","2015","1.7820","2017","9.2900",""
"Cyprus","1.2600","2018","11.1000","2018","1.7000","2017","0.3360","2018","6.1380",""
"Burkina Faso","1.2500","2017","","","","","","","",""
"Serbia","1.2300","2018","13.8900","2018","3.5000","2017","0.1590","2018","20.7140",""
"France","1.2000","2018","375.6300","2016","64.1000","2017","5.9040","2016","154.3430",""
"North Macedonia","1.2000","2018","7.1100","2017","4.9000","2017","0.3360","2017","20.0290",""
"Bhutan","1.1900","2018","145.5000","2018","10.3000","2017","0","2018","2.2800",""
"Bosnia and Herzegovina","1.1700","2018","27.3500","2018","4.7000","2017","0.3000","2018","19.6920",""
"Guinea-Bissau","1.1500","2017","112.2100","2016","","","0.7290","2016","20.3090",""
"Uzbekistan","1.1400","2017","4.3700","2017","","","0.0720","2017","2.6000",""
"Slovakia","1.1400","2018","29.2900","2018","12.9000","2017","1.6870","2018","8.7110",""
"Benin","1.1300","2017","47.7400","2017","","","4.7430","2017","1.6290",""
"Sweden","1.0800","2018","47.2200","2018","190.6000","2017","","","86.7060",""
"Denmark","1.0100","2018","32.2800","2018","83.6000","2017","","","31.6230",""
"Austria","0.9700","2018","41.7400","2018","48.2000","2017","0.0560","2018","26.9470",""
"Tonga","0.9700","2012","","","","","","","",""
"Germany","0.9500","2018","164.4800","2018","42.1000","2017","5.4890","2018","44.2180",""
"Greece","0.9400","2018","15.0800","2018","4.3000","2017","0.7030","2018","41.4170",""
"Australia","0.8900","2018","292.0200","2018","101.5000","2017","1.7710","2018","40.6460",""
"Iceland","0.8900","2018","36.2300","2018","142.3000","2017","","","14.6530",""
"Syria","0.8800","2018","0.8000","2018","0.4000","2008","0.1160","2008","",""
"Ireland","0.8700","2018","93.5100","2018","60.9000","2017","1.5990","2017","45.1370",""
"Taiwan","0.8200","2015","","","","","","","",""
"Portugal","0.7900","2018","5.6500","2018","24.7000","2017","2.6620","2018","102.8160",""
"New Zealand","0.7400","2017","533.9600","2018","126","2017","9.5080","2018","66.6860",""
"Poland","0.7300","2018","17.4300","2018","8.5000","2017","0.6470","2015","17.9340",""
"Maldives","0.7200","2013","71.3100","2017","85.6000","2017","6.8490","2017","17.5260",""
"Hong Kong","0.6500","2018","65.0500","2018","25.1000","2013","0.0140","2013","1.9940",""
"Spain","0.6200","2018","39.1800","2018","20.3000","2017","0.1730","2018","129.1310",""
"Czech Republic","0.6200","2017","46.5700","2018","13.3000","2017","0.1220","2018","13.1820",""
"South Korea","0.6000","2018","103.3100","2018","47.2000","2017","0.0880","2018","1.6040",""
"Netherlands","0.5900","2018","26.8200","2018","28.3000","2017","2.4620","2018","46.1620",""
"Switzerland","0.5900","2018","6.8600","2018","30.7000","2017","0.0940","2018","19.2830",""
"Croatia","0.5800","2018","17.6400","2018","11.4000","2017","0.2400","2016","18.7420",""
"Italy","0.5700","2018","109.4400","2018","8.4000","2017","0.3050","2018","47.8100",""
"China","0.5300","2018","","","","","","","",""
"Bahrain","0.5200","2014","327.8200","2008","15.7000","2008","2.1910","2006","",""
"Palestine","0.4900","2018","15.2400","2018","3.1000","2013","0.2830","2012","86.1650",""
"Slovenia","0.4800","2018","74.3100","2018","20.6000","2017","0.2890","2018","12.7060",""
"Norway","0.4700","2018","36.8700","2018","106.4000","2017","","","14.7460",""
"United Arab Emirates","0.4600","2017","2.1700","2018","4.8000","2016","0.8000","2018","3.2190",""
"Indonesia","0.4300","2017","4.1800","2018","2.1000","2017","0.0830","2018","3.1470",""
"French Polynesia","0.3800","2009","","","","","","","",""
"Qatar","0.3700","2014","39.5600","2004","","","0.7960","2004","",""
"Luxembourg","0.3400","2017","101.1200","2018","61.2000","2017","5.9680","2018","76.7000",""
"Macau","0.3200","2018","1.1100","2018","17.3000","2017","0.1730","2013","10.9240",""
"Senegal","0.2700","2015","2.4100","2010","0.9000","2016","0.0140","2015","17.1690",""
"Oman","0.2700","2018","1.0100","2018","2.8000","2017","0.2280","2018","0.7070",""
"Japan","0.2600","2018","19.0700","2016","5.6000","2016","0.1780","2016","1.8250",""
"Singapore","0.1600","2018","7.5700","2018","30.6000","2017","0","2011","1.2680",""
"Madagascar","","","9.0300","2015","4.6000","2015","0.0450","2015","7.1840",""
"Ivory Coast","","","51.6400","2008","3.7000","2008","","","",""
"Guinea","","","3.0800","2007","0.3000","2007","0.2570","2008","",""
"Isle of Man","0","2016","","","","","","","",""
"Andorra","0","2015","170.5300","2015","14.1000","2015","1.2620","2014","10.2570",""
"Monaco","0","2015","522.2300","2015","13.1000","2016","2.6270","2016","31.8110",""
"San Marino","0","2011","","","","","","","",""
"Vatican City","0","2015","","","0","2015","0","2015","0",""
